Domain Code,Domain,Area Code (M49),Area,Food Group Code,Food Group,Indicator Code,Indicator,Year Code,Year,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4010","Iron supply","2015","2015","6209","Value","mg/cap/d","6.9","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4010","Iron supply","2016","2016","6209","Value","mg/cap/d","6.4","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4010","Iron supply","2017","2017","6209","Value","mg/cap/d","6.5","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4010","Iron supply","2018","2018","6209","Value","mg/cap/d","6.2","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4010","Iron supply","2019","2019","6209","Value","mg/cap/d","6.5","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4010","Iron supply","2020","2020","6209","Value","mg/cap/d","6.3","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4010","Iron supply","2021","2021","6209","Value","mg/cap/d","5.9","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4015","Zinc supply","2010","2010","6209","Value","mg/cap/d","3.88","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4015","Zinc supply","2011","2011","6209","Value","mg/cap/d","3.85","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4015","Zinc supply","2012","2012","6209","Value","mg/cap/d","4.09","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4015","Zinc supply","2013","2013","6209","Value","mg/cap/d","4.2","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4015","Zinc supply","2014","2014","6209","Value","mg/cap/d","4.62","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4015","Zinc supply","2015","2015","6209","Value","mg/cap/d","4.74","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4015","Zinc supply","2016","2016","6209","Value","mg/cap/d","4.51","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4015","Zinc supply","2017","2017","6209","Value","mg/cap/d","4.59","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4015","Zinc supply","2018","2018","6209","Value","mg/cap/d","4.4","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4015","Zinc supply","2019","2019","6209","Value","mg/cap/d","4.62","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4015","Zinc supply","2020","2020","6209","Value","mg/cap/d","4.63","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4015","Zinc supply","2021","2021","6209","Value","mg/cap/d","4.23","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4011","Magnesium supply","2010","2010","6209","Value","mg/cap/d","185","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4011","Magnesium supply","2011","2011","6209","Value","mg/cap/d","187","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4011","Magnesium supply","2012","2012","6209","Value","mg/cap/d","196","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4011","Magnesium supply","2013","2013","6209","Value","mg/cap/d","206","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4011","Magnesium supply","2014","2014","6209","Value","mg/cap/d","214","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4011","Magnesium supply","2015","2015","6209","Value","mg/cap/d","223","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4011","Magnesium supply","2016","2016","6209","Value","mg/cap/d","208","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4011","Magnesium supply","2017","2017","6209","Value","mg/cap/d","214","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4011","Magnesium supply","2018","2018","6209","Value","mg/cap/d","203","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4011","Magnesium supply","2019","2019","6209","Value","mg/cap/d","213","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4011","Magnesium supply","2020","2020","6209","Value","mg/cap/d","208","E","Estimated value",""
